loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,total_assets
57,2,Not Graduate,No,4300,10600,18,431,4200,3000,18600,10400,Approved,36200
58,5,Graduate,Yes,9300,30500,18,841,38600,20600,69200,17400,Approved,145800
59,1,Graduate,No,7400,18400,20,421,37000,18200,35000,8200,Approved,98400
60,4,Not Graduate,Yes,5500,18200,16,797,-200,9800,37200,9600,Approved,56400
61,2,Not Graduate,No,8500,18900,18,478,47600,32600,51800,22800,Approved,154800
62,3,Not Graduate,Yes,9600,30500,18,669,9400,3800,53000,18600,Approved,84800
63,5,Not Graduate,Yes,8800,28900,6,365,48800,17200,54800,9400,Rejected,130200
64,3,Not Graduate,Yes,3300,7500,20,586,3200,11200,21000,5800,Approved,41200
65,4,Graduate,Yes,3900,12300,18,784,15200,13800,26200,5600,Approved,60800
66,1,Graduate,No,4100,10300,12,364,19000,12200,29800,5600,Rejected,66600
67,3,Not Graduate,No,8300,29100,10,715,12200,23800,48200,23800,Approved,108000
68,0,Not Graduate,Yes,2700,10100,20,693,400,3400,11800,2800,Rejected,18400
69,4,Graduate,No,5600,12400,4,777,11000,6200,23600,11000,Approved,51800
70,0,Graduate,No,1900,5000,12,312,8000,5600,9800,4800,Rejected,28200
71,4,Not Graduate,Yes,500,1500,20,340,200,400,3800,1200,Rejected,5600
72,5,Graduate,Yes,5300,18600,4,386,5400,19400,23800,8400,Approved,57000
73,5,Not Graduate,No,7000,18300,4,418,36800,23400,43000,15200,Approved,118400
74,3,Not Graduate,Yes,5800,16700,16,735,7800,18800,25200,11200,Approved,63000
75,2,Not Graduate,No,2600,8400,6,494,13000,7600,11200,4000,Approved,35800
76,2,Not Graduate,No,1900,6500,18,671,1200,5000,9600,2200,Approved,18000
77,4,Graduate,No,5700,14800,16,697,28600,15600,25800,12600,Approved,82600
78,0,Graduate,No,9000,33500,8,801,23200,17800,70800,22200,Approved,134000
79,2,Not Graduate,No,8500,29400,12,576,35200,11200,50400,18000,Approved,114800
80,0,Not Graduate,No,700,1400,14,639,3800,1400,4800,1800,Approved,11800
81,4,Graduate,No,3500,8900,4,470,2600,4400,24600,4000,Approved,35600
82,0,Not Graduate,No,8800,31200,4,826,5800,1000,66600,17200,Approved,90600
83,2,Not Graduate,Yes,9900,21200,16,363,51000,22800,53200,13600,Rejected,140600
84,3,Graduate,No,3600,8600,20,613,18800,600,20600,6600,Approved,46600
85,3,Not Graduate,Yes,3000,8200,16,713,10600,11600,22000,6800,Approved,51000
86,2,Graduate,No,6800,21200,16,439,34200,9400,46600,7200,Approved,97400
87,5,Not Graduate,Yes,1100,3800,18,387,2600,2400,7600,3200,Rejected,15800
88,1,Not Graduate,Yes,8700,28300,8,402,40800,27200,55800,20400,Approved,144200
89,4,Graduate,Yes,2000,8000,6,837,10200,5200,7800,5800,Approved,29000
90,2,Not Graduate,No,9800,37600,10,641,48200,0,46800,15200,Approved,110200
91,4,Graduate,No,5700,21100,18,489,1000,8600,25000,12000,Approved,46600
92,4,Graduate,No,8800,20700,18,540,38400,6400,44800,25400,Approved,115000
93,4,Graduate,No,3800,8900,4,844,18200,7000,26200,9400,Approved,60800
94,1,Graduate,No,1700,6400,10,452,1800,2200,11200,4200,Approved,19400
95,2,Graduate,No,1000,2000,10,366,2400,800,6400,2600,Rejected,12200
96,5,Graduate,No,300,1100,2,300,200,1000,1400,800,Approved,3400
97,2,Graduate,Yes,6600,15000,18,470,2400,9600,36400,14000,Approved,62400
98,2,Not Graduate,No,8700,25000,20,861,29400,17000,46400,14600,Approved,107400
99,4,Graduate,No,9400,29400,12,562,51800,30400,72800,14200,Approved,169200
100,0,Graduate,No,4400,10800,14,463,4800,9600,27600,9400,Approved,51400
101,4,Not Graduate,No,400,900,12,478,1400,200,2400,200,Approved,4200
102,2,Not Graduate,Yes,300,1100,2,702,600,400,1000,400,Rejected,2400
103,2,Not Graduate,Yes,4300,12900,20,618,22800,7200,22800,4800,Approved,57600
104,4,Graduate,No,1600,4500,12,633,1400,3400,8200,3800,Approved,16800
105,5,Not Graduate,Yes,6200,23600,10,331,37000,20600,47600,17400,Rejected,122600
106,3,Not Graduate,Yes,4200,9700,16,841,15600,600,33400,10200,Approved,59800
107,4,Not Graduate,Yes,9000,18100,12,764,1200,33000,41600,23200,Approved,99000
108,0,Graduate,No,2700,10600,6,591,2600,5400,19800,3600,Approved,31400
109,1,Graduate,Yes,9700,35900,2,719,39200,15200,40800,21800,Rejected,117000
110,2,Graduate,No,3300,6800,14,317,6800,600,23400,7200,Rejected,38000
111,0,Not Graduate,No,300,1100,8,778,1600,400,1800,200,Approved,4000
112,3,Graduate,Yes,7400,18200,14,302,11200,6200,35800,10000,Rejected,63200
113,5,Not Graduate,No,7100,19700,8,502,14600,11200,50600,19600,Approved,96000
114,5,Not Graduate,Yes,7300,22100,18,879,39000,21200,38600,19600,Approved,118400
115,1,Not Graduate,No,8400,23400,14,437,30800,11600,66800,16200,Approved,125400
116,0,Not Graduate,Yes,3300,10800,12,797,1200,12000,15400,6600,Approved,35200
117,4,Not Graduate,Yes,5800,23200,18,456,32200,8400,45200,15000,Approved,100800
118,0,Not Graduate,No,600,1600,6,647,3000,1200,3000,1400,Approved,8600
119,0,Not Graduate,No,7200,15800,12,379,25400,24400,43000,7200,Rejected,100000
120,1,Not Graduate,Yes,9100,32900,2,717,4400,4000,47200,11800,Rejected,67400
121,5,Graduate,No,900,2300,16,545,200,400,5400,1600,Approved,7600
122,2,Graduate,No,800,3200,8,317,600,2000,4000,1800,Rejected,8400
123,1,Not Graduate,No,8500,32900,10,570,10200,12400,41000,11000,Approved,74600
124,0,Not Graduate,Yes,9000,18700,18,865,53600,0,41800,22600,Approved,118000
125,3,Graduate,No,7000,19500,14,719,24400,20600,36400,20400,Approved,101800
126,3,Graduate,No,200,600,16,821,800,200,1000,200,Approved,2200
127,4,Not Graduate,Yes,400,800,10,859,1800,1000,1600,400,Approved,4800
128,3,Not Graduate,No,5100,18200,10,395,200,16000,31000,12600,Rejected,59800
129,2,Not Graduate,Yes,700,2600,12,429,3200,2600,5400,1600,Approved,12800
130,3,Graduate,No,400,1200,12,861,400,1200,2200,400,Approved,4200
131,0,Not Graduate,Yes,9500,20800,14,565,30200,23800,67800,26800,Approved,148600
132,5,Graduate,No,8800,22600,10,357,15800,17200,36400,9800,Rejected,79200
133,3,Not Graduate,Yes,1800,3600,18,465,1200,1000,10800,5200,Approved,18200
134,4,Not Graduate,Yes,6800,13900,8,479,23400,18200,51400,19200,Approved,112200
135,3,Not Graduate,No,1500,5500,16,717,4200,1600,8800,2600,Approved,17200
136,3,Graduate,No,1600,5500,12,425,1200,1600,10800,1800,Approved,15400
137,2,Not Graduate,No,4600,16700,2,786,400,11800,27800,12200,Rejected,52200
138,5,Not Graduate,Yes,2200,6700,6,382,8800,2600,17200,2200,Rejected,30800
139,3,Not Graduate,Yes,2900,8500,12,564,2000,6200,15000,3600,Approved,26800
140,0,Graduate,No,200,700,8,501,1000,400,1400,200,Approved,3000
141,2,Not Graduate,Yes,2500,9400,10,727,13200,8200,19000,6600,Approved,47000
142,4,Not Graduate,No,3600,7500,6,894,2200,13000,14800,5600,Approved,35600
143,0,Graduate,Yes,5500,16700,18,829,11000,2600,25600,11800,Approved,51000
144,4,Not Graduate,No,6600,17400,20,506,5200,20000,51800,14400,Approved,91400
145,2,Graduate,Yes,8600,32100,6,802,18800,33400,49000,19600,Approved,120800
146,5,Not Graduate,No,600,1500,14,543,600,1800,4200,600,Approved,7200
147,3,Graduate,Yes,1400,3200,20,772,4800,1800,10200,3200,Approved,20000
148,3,Graduate,No,4000,11100,12,572,19400,200,25000,4800,Approved,49400
149,0,Not Graduate,Yes,4900,11900,16,709,29200,1800,37000,7600,Approved,75600
150,5,Graduate,No,2000,6200,18,402,8000,4200,14400,2200,Approved,28800
151,1,Not Graduate,Yes,5200,19300,8,481,28600,19000,37600,8400,Approved,93600
152,5,Graduate,Yes,8900,28800,6,772,27200,11000,40800,16800,Approved,95800
153,1,Graduate,Yes,6500,20600,2,306,31800,3800,36200,6400,Approved,78200
154,2,Not Graduate,No,1300,4500,6,415,0,1800,5800,2400,Rejected,10000
155,3,Not Graduate,No,9400,35000,16,548,36400,8800,72200,9600,Approved,127000
156,5,Not Graduate,No,5000,11200,8,701,18200,1000,28000,9200,Approved,56400
157,2,Graduate,No,3000,7700,12,890,9400,8600,16800,4200,Approved,39000
158,5,Not Graduate,Yes,9900,33300,6,364,10600,37400,55600,16600,Rejected,120200
159,5,Graduate,Yes,700,1300,20,704,3200,0,4400,1200,Approved,8800
160,3,Graduate,Yes,4000,10600,10,318,3000,10200,16000,9800,Rejected,39000
161,5,Not Graduate,No,3100,9600,2,761,11600,3600,20800,8400,Rejected,44400
162,4,Not Graduate,No,4500,15100,6,693,7400,3000,35600,12000,Approved,58000
163,3,Not Graduate,No,9700,20600,16,524,48400,22200,54800,12200,Approved,137600
164,2,Not Graduate,Yes,2000,5300,10,681,9800,2800,8600,5800,Approved,27000
165,2,Graduate,Yes,8100,22300,18,737,44600,25200,54000,14600,Approved,138400
166,0,Not Graduate,No,5700,15900,16,638,200,19000,32600,9000,Approved,60800
167,4,Not Graduate,No,5800,12800,2,656,1000,10000,32000,5600,Rejected,48600
168,1,Graduate,No,1800,6500,6,540,5000,6400,10000,2200,Approved,23600
169,4,Not Graduate,Yes,9100,35200,6,341,2000,600,46200,16400,Rejected,65200
170,0,Not Graduate,Yes,4800,17500,2,371,23400,13600,37400,7000,Approved,81400
171,3,Not Graduate,Yes,3800,10500,12,886,8000,1000,29800,4600,Approved,43400
172,0,Not Graduate,No,1900,4100,18,801,800,1600,9600,2400,Approved,14400
173,3,Not Graduate,Yes,3600,9500,16,748,15400,4800,19400,5200,Approved,44800
174,2,Not Graduate,Yes,7400,28200,8,376,43800,10000,34800,10400,Rejected,99000
175,4,Not Graduate,Yes,6600,14300,8,371,21600,19000,37000,14800,Rejected,92400
176,2,Graduate,No,1800,5300,6,826,9000,1400,13000,2600,Approved,26000
177,4,Not Graduate,No,9200,27200,12,873,9000,3600,67600,22800,Approved,103000
178,5,Not Graduate,Yes,2400,8600,8,309,1000,1200,11400,5600,Rejected,19200
179,4,Not Graduate,No,5600,13300,20,869,6600,15000,40000,13000,Approved,74600
180,5,Graduate,No,3800,13900,12,534,9400,5800,16400,5600,Approved,37200
181,3,Not Graduate,Yes,4500,17900,6,787,19600,7200,28600,8400,Approved,63800
182,0,Graduate,Yes,900,2200,16,566,200,1400,4000,1200,Approved,6800
183,0,Not Graduate,No,2800,9900,8,742,9800,2600,13400,3400,Approved,29200
184,2,Not Graduate,No,7500,23100,4,824,24200,21800,52600,19000,Approved,117600
185,4,Graduate,No,1400,3100,14,575,6000,4200,9800,2800,Approved,22800
186,2,Graduate,Yes,3800,10900,10,766,3800,7800,17200,6000,Approved,34800
187,1,Not Graduate,Yes,1700,5000,10,888,5800,1800,8200,4400,Approved,20200
188,3,Graduate,Yes,9000,30400,6,638,33600,22000,53800,18400,Approved,127800
189,5,Not Graduate,Yes,7300,23300,6,622,14200,23200,52800,21000,Approved,111200
190,1,Not Graduate,No,7400,19800,18,458,25200,12400,55400,8000,Approved,101000
191,1,Not Graduate,No,9000,28200,16,327,3400,4600,48000,22400,Rejected,78400
192,0,Not Graduate,No,3000,6500,2,612,17600,6800,13400,3400,Rejected,41200
193,1,Graduate,No,800,2900,8,682,4400,2200,5800,1400,Approved,13800
194,2,Graduate,No,4800,13200,2,583,27400,11600,19000,10400,Rejected,68400
195,5,Not Graduate,No,6400,18300,8,697,20000,7200,45000,7200,Approved,79400
196,3,Graduate,No,9200,27100,12,306,11600,23000,56000,19200,Rejected,109800
197,4,Not Graduate,Yes,400,1500,2,669,-200,1200,1800,1000,Rejected,3800
198,2,Not Graduate,No,2800,6000,18,816,12600,8400,16000,6800,Approved,43800
199,4,Not Graduate,Yes,8500,28900,20,455,30400,11600,45000,18800,Approved,105800
200,3,Graduate,Yes,4700,16400,10,318,22800,16200,32400,8600,Rejected,80000
201,4,Not Graduate,Yes,9800,21200,20,355,44000,17800,63600,28800,Rejected,154200
202,2,Not Graduate,Yes,3800,8900,16,389,400,11200,24400,4400,Rejected,40400
203,2,Graduate,No,500,1500,2,888,3000,600,3000,1200,Rejected,7800
204,2,Graduate,Yes,6900,15600,6,352,26000,10600,45200,20000,Rejected,101800
205,4,Not Graduate,Yes,9600,30100,12,870,600,13400,76400,11200,Approved,101600
206,3,Not Graduate,No,2900,6500,18,827,16600,1200,20800,6400,Approved,45000
207,2,Graduate,No,9800,20900,12,768,6800,20400,77200,26800,Approved,131200
208,0,Graduate,No,7100,15400,18,707,20600,21600,39200,11600,Approved,93000
209,1,Not Graduate,Yes,7700,19100,10,355,22600,9800,43800,13200,Rejected,89400
210,3,Graduate,No,1400,3300,2,652,200,4200,7000,3800,Rejected,15200
211,3,Graduate,No,7800,15900,2,665,28800,1800,54400,10800,Rejected,95800
212,5,Not Graduate,Yes,1700,6000,18,420,1000,3200,7400,4600,Approved,16200
213,2,Not Graduate,No,8500,32700,18,471,25200,18800,67800,25000,Approved,136800
214,5,Not Graduate,No,1900,7500,20,715,10200,5600,13000,5600,Approved,34400
215,2,Not Graduate,Yes,6700,15200,10,689,0,16400,30000,13600,Approved,60000
216,3,Graduate,Yes,6900,16400,4,787,22200,12200,52800,7600,Approved,94800
217,2,Graduate,No,2600,7800,4,819,6200,8600,11400,3000,Approved,29200
218,4,Graduate,Yes,9600,21100,6,809,32200,19000,69400,17400,Approved,138000
219,1,Not Graduate,Yes,6800,17000,2,744,31000,7800,47400,7000,Rejected,93200
220,0,Not Graduate,No,3200,11300,6,484,7000,11000,17000,4200,Approved,39200
221,4,Not Graduate,No,2900,10400,6,673,10200,3400,21200,3400,Approved,38200
222,3,Graduate,Yes,7900,21200,18,695,27600,21200,43600,9800,Approved,102200
223,4,Not Graduate,Yes,3900,12400,12,473,12800,9400,26200,7600,Approved,56000
224,4,Graduate,Yes,4600,11000,2,491,18000,8000,32200,7000,Approved,65200
225,3,Not Graduate,Yes,700,1700,8,733,2400,1600,4800,1000,Approved,9800
226,0,Not Graduate,No,5200,15600,20,434,28200,11600,36200,11000,Approved,87000
227,3,Not Graduate,Yes,5900,20600,10,777,3800,9200,42400,12800,Approved,68200
228,4,Graduate,No,7200,19100,4,774,18800,14000,35800,7200,Approved,75800
229,1,Not Graduate,Yes,8700,27000,10,717,51000,17200,35000,18200,Approved,121400
230,3,Not Graduate,Yes,1100,3500,12,503,6000,800,4400,2400,Approved,13600
231,1,Graduate,Yes,4000,10900,14,598,7200,13200,27200,8800,Approved,56400
232,2,Graduate,No,9800,32400,2,543,48400,35000,51400,15400,Approved,150200
233,0,Not Graduate,Yes,2700,6800,20,796,1400,8400,14000,3800,Approved,27600
234,3,Not Graduate,Yes,8800,34600,8,386,29600,33000,36800,12000,Rejected,111400
235,5,Not Graduate,Yes,3300,7800,16,632,17000,1000,14200,9800,Approved,42000
236,1,Graduate,Yes,6900,23400,4,481,37400,2200,46800,20400,Approved,106800
237,3,Graduate,Yes,900,3500,4,770,1400,0,4000,1200,Rejected,6600
238,3,Graduate,Yes,4100,15500,6,667,5600,3200,29400,8000,Approved,46200
239,3,Not Graduate,Yes,4700,17500,8,585,2400,6200,19200,9800,Approved,37600
240,5,Graduate,Yes,3400,11600,16,479,18400,11400,22400,4800,Approved,57000
241,2,Graduate,No,9600,22500,18,851,14800,32400,48600,25400,Approved,121200
242,3,Not Graduate,Yes,7000,16200,6,378,40000,25200,40600,11000,Rejected,116800
243,5,Graduate,No,5700,12900,18,807,8200,1800,37200,11000,Approved,58200
244,1,Not Graduate,Yes,8200,32400,18,831,45600,24600,35400,15600,Approved,121200
245,2,Not Graduate,No,2100,5100,12,674,4400,6400,12800,4800,Approved,28400
246,1,Not Graduate,Yes,8000,28100,18,725,3800,25600,46000,15000,Approved,90400
247,2,Not Graduate,No,8000,29300,4,600,33000,26400,58800,13000,Approved,131200
248,0,Not Graduate,Yes,9400,27000,10,536,8800,3400,67600,9600,Approved,89400
249,0,Graduate,No,8400,20600,10,477,3000,3000,50000,23800,Approved,79800
250,1,Not Graduate,Yes,1900,5000,6,560,2000,3800,12600,2800,Approved,21200
251,0,Not Graduate,Yes,4200,16400,20,539,19000,4200,22800,6200,Approved,52200
252,5,Graduate,No,2600,9100,8,852,7400,1400,20600,6600,Approved,36000
253,3,Not Graduate,No,3700,8500,20,853,16600,11400,15000,9800,Approved,52800
254,0,Graduate,No,8800,30900,12,729,3400,1400,51400,22800,Approved,79000
255,2,Not Graduate,No,2100,4700,2,546,12000,6400,11400,3000,Approved,32800
256,3,Graduate,Yes,900,2400,10,489,1600,0,5600,1000,Approved,8200
257,3,Graduate,Yes,9800,35400,6,869,28800,32800,45600,20600,Approved,127800
258,2,Not Graduate,No,8000,20000,2,502,8200,4400,63200,19800,Approved,95600
259,0,Graduate,No,9800,38800,8,652,46400,38000,59400,10800,Approved,154600
260,0,Not Graduate,Yes,300,1100,8,789,800,200,1600,800,Approved,3400
261,4,Not Graduate,No,2700,8100,4,325,10000,1600,19800,6800,Approved,38200
262,3,Graduate,Yes,7400,19600,2,716,8200,17800,58200,8400,Rejected,92600
263,3,Graduate,No,9200,34300,18,523,51200,8000,58200,17600,Approved,135000
264,5,Not Graduate,No,9500,22200,20,352,49000,0,61600,14000,Rejected,124600
265,5,Graduate,Yes,3800,14400,2,345,6600,1600,26000,9400,Approved,43600
266,0,Graduate,No,8300,19400,18,649,5000,32200,48600,22600,Approved,108400
267,2,Graduate,Yes,2800,7400,18,666,200,4600,12600,6800,Approved,24200
268,0,Graduate,No,8600,20900,10,813,22600,23800,52000,9600,Approved,108000
269,0,Not Graduate,No,5400,16800,10,599,10600,14800,29000,15200,Approved,69600
270,5,Graduate,Yes,4200,9400,6,678,9400,11000,19800,11400,Approved,51600
271,5,Not Graduate,No,5200,12200,20,513,26800,4000,33600,10800,Approved,75200
272,5,Graduate,No,9400,27900,4,870,2200,400,59000,20800,Approved,82400
273,3,Graduate,No,8800,20400,8,483,6400,22800,56400,23600,Approved,109200
274,1,Graduate,Yes,5900,16700,16,308,11600,17600,38200,10600,Rejected,78000
275,3,Graduate,Yes,1700,4900,16,591,9400,2000,8600,2800,Approved,22800
276,1,Not Graduate,No,7000,23000,10,886,28000,7400,53400,7200,Approved,96000
277,4,Not Graduate,No,1700,4000,6,829,0,3200,10400,3400,Approved,17000
278,0,Not Graduate,No,1500,4900,12,651,3200,5600,9200,1600,Approved,19600
279,4,Not Graduate,No,2000,4700,18,733,7400,7400,14000,5600,Approved,34400
280,5,Graduate,Yes,3900,15500,12,433,19000,10800,15800,9200,Approved,54800
281,1,Graduate,Yes,900,3600,14,713,2600,2000,3600,2400,Approved,10600
282,1,Graduate,No,6900,22500,18,403,1600,16800,33800,12600,Approved,64800
283,0,Graduate,Yes,2800,7800,10,405,15600,5000,14200,6800,Approved,41600
284,3,Graduate,Yes,6800,19900,10,516,32000,12000,52000,17000,Approved,113000
285,4,Not Graduate,Yes,600,1800,8,417,3400,1400,3600,1600,Approved,10000
286,1,Not Graduate,No,4700,14000,6,468,22600,3600,21200,9200,Approved,56600
287,5,Graduate,Yes,3000,11800,10,672,17400,7200,19600,8200,Approved,52400
288,5,Not Graduate,No,4000,13900,6,530,12000,11200,25000,12000,Approved,60200
289,1,Not Graduate,Yes,3100,11300,14,824,7400,12000,22000,8800,Approved,50200
290,1,Not Graduate,Yes,7700,25500,12,549,36200,21200,41000,14000,Approved,112400
291,5,Not Graduate,Yes,4300,9300,10,450,4200,13400,20000,8200,Approved,45800
292,1,Graduate,Yes,5800,19500,20,431,27600,10000,31200,6600,Approved,75400
293,3,Graduate,Yes,3600,10700,16,312,4600,3200,26200,10400,Rejected,44400
294,0,Not Graduate,Yes,2900,7600,8,320,16000,11200,19200,6200,Rejected,52600
295,0,Graduate,No,8800,20200,4,433,32000,8400,61000,24800,Approved,126200
296,1,Not Graduate,Yes,300,1000,10,431,800,1000,1800,200,Approved,3800
297,5,Not Graduate,Yes,8600,28900,8,516,19800,3600,60400,13600,Approved,97400
298,2,Not Graduate,Yes,3500,12000,14,476,2200,13600,24800,5800,Approved,46400
299,5,Graduate,No,800,2600,6,560,200,400,6000,2000,Approved,8600
300,2,Graduate,No,8000,27100,12,674,28800,800,50600,12800,Approved,93000
301,0,Not Graduate,Yes,9900,38200,6,573,34400,20000,40200,11800,Approved,106400
302,2,Not Graduate,No,3300,6600,6,331,12600,4000,17800,5400,Rejected,39800
303,4,Graduate,Yes,2000,6700,12,633,200,1600,9600,4000,Approved,15400
304,3,Not Graduate,No,4900,12900,18,877,3600,14000,35800,6600,Approved,60000
305,5,Not Graduate,Yes,9200,23600,12,656,2800,22400,72800,9800,Approved,107800
306,0,Not Graduate,No,7500,18200,6,782,14800,24000,39600,8200,Approved,86600
307,5,Not Graduate,No,9000,29300,4,531,20800,19000,71000,11600,Approved,122400
308,3,Not Graduate,No,1400,4100,8,455,6000,2800,5800,4200,Approved,18800
309,3,Graduate,No,9600,19900,14,452,8400,32400,57000,13200,Approved,111000
310,2,Graduate,No,8400,33200,14,474,39200,30000,50800,23000,Approved,143000
311,3,Not Graduate,No,6400,24400,4,483,15600,4800,38200,9000,Approved,67600
312,4,Graduate,No,5900,16800,8,481,13800,22800,39000,6600,Approved,82200
313,2,Graduate,Yes,2200,5100,20,859,7600,2400,12800,6200,Approved,29000
314,4,Graduate,Yes,5600,14100,14,696,18000,18400,33000,13600,Approved,83000
315,4,Not Graduate,No,9800,28700,6,778,33200,14800,59400,22200,Approved,129600
316,4,Graduate,No,4400,14600,4,499,2600,13000,32200,11400,Approved,59200
317,2,Not Graduate,Yes,2400,4900,4,888,12800,8600,10200,6800,Approved,38400
318,1,Graduate,No,4400,10800,12,674,19200,5400,34400,10600,Approved,69600
319,4,Graduate,No,3700,13200,4,802,19600,4800,25000,8600,Approved,58000
320,4,Not Graduate,Yes,2300,7800,8,540,3000,6800,9400,5600,Approved,24800
321,4,Graduate,Yes,5900,19600,8,726,34800,13600,40200,16000,Approved,104600
322,4,Not Graduate,Yes,6400,23500,2,485,14600,5400,47200,7800,Approved,75000
323,4,Graduate,Yes,4900,17100,6,612,2600,14000,39000,10000,Approved,65600
324,3,Not Graduate,Yes,9500,24200,8,879,6200,34400,52800,25400,Approved,118800
325,2,Not Graduate,No,5700,16400,12,708,7400,1600,30000,8800,Approved,47800
326,2,Not Graduate,Yes,2700,5700,8,850,7000,10000,21000,7800,Approved,45800
327,2,Not Graduate,Yes,3900,11300,12,516,6200,0,20800,9200,Approved,36200
328,0,Not Graduate,No,7800,28800,12,465,9400,15000,57600,14800,Approved,96800
329,0,Graduate,No,1100,3200,20,716,3600,2800,7200,3000,Approved,16600
